CBSA,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
35620,07055,PASSAIC,NJ,0.002812638,0.003392621,0.006302435,0.003107493
35620,07044,VERONA,NJ,0.000744357,0.000659921,0.000589436,0.000726560
35620,07052,WEST ORANGE,NJ,0.002255766,0.002018729,0.001843405,0.002207409
35620,07080,SOUTH PLAINFIELD,NJ,0.001093308,0.002106719,0.000765134,0.001151244
35620,07105,NEWARK,NJ,0.002224518,0.003131167,0.010718956,0.002901704
35620,07306,JERSEY CITY,NJ,0.003577668,0.002847087,0.006855031,0.003752282
35620,07403,BLOOMINGDALE,NJ,0.000372238,0.000238828,0.000313138,0.000357331
35620,07305,JERSEY CITY,NJ,0.002992994,0.001532273,0.005428199,0.003049114
35620,07302,JERSEY CITY,NJ,0.004210699,0.001991075,0.005586893,0.004130586
35620,07304,JERSEY CITY,NJ,0.002681588,0.001528502,0.004127471,0.002691984
35620,07421,HEWITT,NJ,0.000507209,0.000307963,0.000138858,0.000465015
35620,07524,PATERSON,NJ,0.000439486,0.000619697,0.001776810,0.000549105
35620,07605,LEONIA,NJ,0.000409783,0.000252655,0.000507255,0.000404115
35620,07481,WYCKOFF,NJ,0.000736159,0.000848470,0.000361313,0.000718494
35620,07643,LITTLE FERRY,NJ,0.000636120,0.000702659,0.000525675,0.000633598
35620,07646,NEW MILFORD,NJ,0.000768595,0.000245113,0.001524600,0.000780402
35620,07642,HILLSDALE,NJ,0.000440555,0.000274024,0.000154444,0.000406838
35620,07461,SUSSEX,NJ,0.000925665,0.000441204,0.000335809,0.000844831
35620,07446,RAMSEY,NJ,0.000740912,0.001194142,0.000773635,0.000779595
35620,10545,MARYKNOLL,NY,0.000000000,0.000001257,0.000001417,0.000000202
35620,10157,NEW YORK,NY,0.000000000,0.000000000,0.000001417,0.000000101
35620,08899,EDISON,NJ,0.000000000,0.000001257,0.000000000,0.000000101
35620,10125,NEW YORK,NY,0.000000000,0.000000000,0.000001417,0.000000101
35620,10117,NEW YORK,NY,0.000000000,0.000000000,0.000008501,0.000000605
35620,07399,JERSEY CITY,NJ,0.000000000,0.000001257,0.000000000,0.000000101
35620,10150,NEW YORK,NY,0.000395763,0.000531708,0.000004251,0.000378808
35620,07608,TETERBORO,NJ,0.000003208,0.000331846,0.000138858,0.000039222
35620,07977,PEAPACK,NJ,0.000033624,0.000149582,0.000005668,0.000040936
35620,07902,SUMMIT,NJ,0.000133307,0.000284080,0.000002834,0.000136117
35620,10527,GRANITE SPRINGS,NY,0.000035525,0.000002514,0.000011335,0.000031156
35620,11243,BROOKLYN,NY,0.000021743,0.000022626,0.000004251,0.000020569
35620,10103,NEW YORK,NY,0.000000000,0.000080447,0.000011335,0.000007260
35620,10178,NEW YORK,NY,0.000000000,0.000079190,0.000011335,0.000007159
35620,10166,NEW YORK,NY,0.000000000,0.000094274,0.000005668,0.000007965
35620,11256,BROOKLYN,NY,0.000000000,0.000047766,0.000001417,0.000003932
35620,10113,NEW YORK,NY,0.000166931,0.000299164,0.000002834,0.000165861
35620,08741,PINE BEACH,NJ,0.000141980,0.000028911,0.000015586,0.000123917
35620,08832,KEASBEY,NJ,0.000130693,0.000076677,0.000035423,0.000119581
35620,08828,HELMETTA,NJ,0.000130337,0.000027654,0.000012752,0.000113733
35620,08818,EDISON,NJ,0.000125228,0.000331846,0.000008501,0.000133495
35620,10281,NEW YORK,NY,0.000000238,0.000380869,0.000174280,0.000043154
35620,11516,CEDARHURST,NY,0.000347525,0.001214254,0.000562515,0.000432347
35620,11792,WADING RIVER,NY,0.000401704,0.000309220,0.000158694,0.000376993
35620,10596,VERPLANCK,NY,0.000072119,0.000011313,0.000001417,0.000062210
35620,10038,NEW YORK,NY,0.001809983,0.003631450,0.001100942,0.001905633
35620,10065,NEW YORK,NY,0.002870261,0.002389542,0.002190549,0.002783333
35620,10036,NEW YORK,NY,0.003062380,0.010101188,0.002683636,0.003600033
35620,10044,NEW YORK,NY,0.000919486,0.000137012,0.000238042,0.000808230
35620,10075,NEW YORK,NY,0.002188993,0.001128779,0.001720134,0.002070586
35620,10118,NEW YORK,NY,0.000000000,0.000456288,0.000025504,0.000038415
35620,10301,STATEN ISLAND,NY,0.001859171,0.001577525,0.001776810,0.001830718
35620,10069,NEW YORK,NY,0.000508753,0.000062850,0.000056677,0.000440816
35620,10115,NEW YORK,NY,0.000000000,0.000186035,0.000007085,0.000015427
35620,10305,STATEN ISLAND,NY,0.001756517,0.001294702,0.001212879,0.001680789
35620,10464,BRONX,NY,0.000297743,0.000250141,0.000338643,0.000296835
35620,11212,BROOKLYN,NY,0.004279610,0.002107976,0.006499386,0.004263375
35620,11217,BROOKLYN,NY,0.002965549,0.002195965,0.004851514,0.003038023
35620,11249,BROOKLYN,NY,0.002495885,0.001563698,0.003118628,0.002465425
35620,11364,OAKLAND GARDENS,NY,0.001596715,0.000583244,0.000692871,0.001451104
35620,11361,BAYSIDE,NY,0.001254774,0.001629062,0.001523183,0.001303897
35620,11021,GREAT NECK,NY,0.001028081,0.002742757,0.000895490,0.001156185
35620,11385,RIDGEWOOD,NY,0.003391371,0.003783546,0.007727850,0.003731411
35620,11377,WOODSIDE,NY,0.003763372,0.002781723,0.004332924,0.003725160
35620,11412,SAINT ALBANS,NY,0.001242655,0.000969141,0.000375482,0.001159008
35620,11374,REGO PARK,NY,0.002660677,0.001567469,0.001218546,0.002470366
35620,11559,LAWRENCE,NY,0.000379367,0.000726541,0.000449162,0.000412181
35620,11551,HEMPSTEAD,NY,0.000345743,0.000243856,0.000002834,0.000313169
35620,11554,EAST MEADOW,NY,0.001565468,0.001255735,0.000388235,0.001456851
35620,11514,CARLE PLACE,NY,0.000241664,0.000731569,0.000484585,0.000298247
35620,11507,ALBERTSON,NY,0.000317703,0.000475143,0.000110519,0.000315589
35620,11572,OCEANSIDE,NY,0.001371566,0.001464396,0.000563932,0.001321541
35620,11576,ROSLYN,NY,0.000602139,0.000543021,0.000293301,0.000575421
35620,11432,JAMAICA,NY,0.002434696,0.002515241,0.001786729,0.002395048
35620,11433,JAMAICA,NY,0.001356240,0.000891207,0.000963502,0.001290991
35620,11706,BAY SHORE,NY,0.002399885,0.002938847,0.001443836,0.002375084
35620,11710,BELLMORE,NY,0.001458180,0.001525988,0.000675868,0.001407950
35620,11702,BABYLON,NY,0.000750892,0.001053359,0.000664533,0.000769009
35620,11740,GREENLAWN,NY,0.000463961,0.000407265,0.000093516,0.000433053
35620,11697,BREEZY POINT,NY,0.000351684,0.000056565,0.000009918,0.000303691
35620,11778,ROCKY POINT,NY,0.000578377,0.000452517,0.000198368,0.000541240
35620,11772,PATCHOGUE,NY,0.002300795,0.002590661,0.002108368,0.002310353
35620,11768,NORTHPORT,NY,0.001034734,0.000918861,0.000558264,0.000991534
35620,11791,SYOSSET,NY,0.001070259,0.001734649,0.000368398,0.001073607
35620,11751,ISLIP,NY,0.000703486,0.000657407,0.000478917,0.000683810
35620,11953,MIDDLE ISLAND,NY,0.000758853,0.000573188,0.000059510,0.000694195
35620,11958,PECONIC,NY,0.000049545,0.000020112,0.000001417,0.000043759
35620,11971,SOUTHOLD,NY,0.000455763,0.000192320,0.000113353,0.000410266
35620,11932,BRIDGEHAMPTON,NY,0.000240832,0.000416064,0.000005668,0.000238154
35620,10550,MOUNT VERNON,NY,0.001819012,0.002828232,0.003861091,0.002045279
35620,10547,MOHEGAN LAKE,NY,0.000433426,0.000429891,0.000236625,0.000419138
35620,10528,HARRISON,NY,0.000693506,0.000789391,0.000600772,0.000694598
35620,10516,COLD SPRING,NY,0.000352159,0.000546792,0.000354229,0.000367918
35620,10520,CROTON ON HUDSON,NY,0.000712041,0.000610898,0.000464748,0.000686330
35620,10526,GOLDENS BRIDGE,NY,0.000182971,0.000124442,0.000019837,0.000166667
35620,10604,WEST HARRISON,NY,0.000635882,0.000965370,0.000548346,0.000656082
35620,10603,WHITE PLAINS,NY,0.001018932,0.000823330,0.000835979,0.000990223
35620,10589,SOMERS,NY,0.000554971,0.000546792,0.001375824,0.000612727
35620,10595,VALHALLA,NY,0.000282535,0.000677519,0.000172864,0.000306414
35620,10702,YONKERS,NY,0.000132832,0.000152096,0.000002834,0.000125126
35620,10560,NORTH SALEM,NY,0.000291684,0.000199862,0.000026921,0.000265478
35620,10970,POMONA,NY,0.000568516,0.000639809,0.000229540,0.000550113
35620,10920,CONGERS,NY,0.000390416,0.000603356,0.000212537,0.000394839
35620,07013,CLIFTON,NJ,0.001315131,0.001391490,0.000889822,0.001290991
35620,07054,PARSIPPANY,NJ,0.001745943,0.002774181,0.000874236,0.001766391
35620,07043,MONTCLAIR,NJ,0.000572080,0.000653636,0.000335809,0.000561809
35620,07078,SHORT HILLS,NJ,0.000609625,0.000716485,0.000512923,0.000611315
35620,07069,WATCHUNG,NJ,0.000293822,0.000397209,0.000215371,0.000296533
35620,07033,KENILWORTH,NJ,0.000409189,0.000949029,0.000474666,0.000457150
35620,07039,LIVINGSTON,NJ,0.001463289,0.001937025,0.000728294,0.001448987
35620,07106,NEWARK,NJ,0.001373942,0.000593300,0.003525283,0.001464413
35620,07442,POMPTON LAKES,NJ,0.000520159,0.000482685,0.000342893,0.000504539
35620,07603,BOGOTA,NJ,0.000394218,0.000267739,0.000276298,0.000375682
35620,07508,HALEDON,NJ,0.000955486,0.000634781,0.000970586,0.000930836
35620,07502,PATERSON,NJ,0.000520159,0.000289108,0.001062686,0.000540232
35620,07513,PATERSON,NJ,0.000352040,0.000372070,0.000911076,0.000393428
35620,07644,LODI,NJ,0.001150813,0.001104896,0.001919919,0.001201860
35620,07631,ENGLEWOOD,NJ,0.001455685,0.002158255,0.001652122,0.001526019
35620,07648,NORWOOD,NJ,0.000267684,0.000311734,0.000161528,0.000263663
35620,07647,NORTHVALE,NJ,0.000220753,0.000497769,0.000216788,0.000242691
35620,07641,HAWORTH,NJ,0.000141505,0.000075420,0.000031172,0.000128353
35620,07470,WAYNE,NJ,0.002374696,0.002554208,0.001287975,0.002311765
35620,07474,WAYNE,NJ,0.000224436,0.000641066,0.000008501,0.000242489
35620,07457,RIVERDALE,NJ,0.000240238,0.000358243,0.000221039,0.000248337
35620,07724,EATONTOWN,NJ,0.001391645,0.002018729,0.000674451,0.001390910
35620,07716,ATLANTIC HIGHLANDS,NJ,0.000531327,0.000537993,0.000208286,0.000508875
35620,07717,AVON BY THE SEA,NJ,0.000168594,0.000134498,0.000133190,0.000163340
35620,07666,TEANECK,NJ,0.001955290,0.001860348,0.001492011,0.001914707
35620,07670,TENAFLY,NJ,0.000702417,0.000706430,0.000517174,0.000689557
35620,07921,BEDMINSTER,NJ,0.000623050,0.000422349,0.000283383,0.000582781
35620,07926,BROOKSIDE,NJ,0.000056317,0.000072906,0.000002834,0.000053842
35620,07932,FLORHAM PARK,NJ,0.000717150,0.001040789,0.000605022,0.000735131
35620,07843,HOPATCONG,NJ,0.000674971,0.000247627,0.000187033,0.000605971
35620,07974,NEW PROVIDENCE,NJ,0.000601545,0.000433662,0.000755215,0.000599014
35620,07980,STIRLING,NJ,0.000108357,0.000191063,0.000308887,0.000129260
35620,07826,BRANCHVILLE,NJ,0.000294773,0.000177236,0.000296135,0.000285442
35620,08006,BARNEGAT LIGHT,NJ,0.000084594,0.000040224,0.000004251,0.000075318
35620,08087,TUCKERTON,NJ,0.001600279,0.000676262,0.000168613,0.001424284
35620,08751,SEASIDE HEIGHTS,NJ,0.000652397,0.000323047,0.000780720,0.000635110
35620,08735,LAVALLETTE,NJ,0.000871011,0.000255169,0.000168613,0.000771630
35620,08701,LAKEWOOD,NJ,0.003980441,0.005364842,0.002302486,0.003972085
35620,08804,BLOOMSBURY,NJ,0.000099683,0.000032682,0.000077930,0.000092761
35620,08863,FORDS,NJ,0.000622932,0.000436176,0.000201202,0.000577941
35620,08844,HILLSBOROUGH,NJ,0.002131845,0.002030042,0.001388576,0.002070788
35620,08879,SOUTH AMBOY,NJ,0.001186101,0.000706430,0.000704206,0.001113333
35620,08827,HAMPTON,NJ,0.000210891,0.000169694,0.000090683,0.000199033
35620,08906,NEW BRUNSWICK,NJ,0.000136040,0.000139526,0.000002834,0.000126841
35620,10014,NEW YORK,NY,0.003122618,0.003276978,0.003868176,0.003188054
35620,10023,NEW YORK,NY,0.005862662,0.002555465,0.003511114,0.005430046
35620,10019,NEW YORK,NY,0.004228164,0.006888316,0.003071870,0.004359262
35620,10026,NEW YORK,NY,0.002211449,0.000945258,0.002432842,0.002125638
35620,07799,EATONTOWN,NJ,0.000000000,0.000001257,0.000000000,0.000000101
35620,07837,GLASSER,NJ,0.000000000,0.000000000,0.000009918,0.000000706
35620,11437,JAMAICA,NY,0.000000000,0.000001257,0.000001417,0.000000202
35620,10154,NEW YORK,NY,0.000000000,0.000084218,0.000014169,0.000007764
35620,08562,WRIGHTSTOWN,NJ,0.000001069,0.000000000,0.000000000,0.000000907
35620,07538,HALEDON,NJ,0.000064990,0.000172208,0.000002834,0.000069167
35620,12564,PAWLING,NY,0.000001663,0.000000000,0.000000000,0.000001412
35620,10802,NEW ROCHELLE,NY,0.000156951,0.000157124,0.000002834,0.000145998
35620,10122,NEW YORK,NY,0.000000000,0.000310477,0.000019837,0.000026316
35620,10587,SHENOROCK,NY,0.000066416,0.000013827,0.000002834,0.000057673
35620,07851,LAYTON,NJ,0.000010693,0.000007542,0.000029755,0.000011797
35620,10123,NEW YORK,NY,0.000000000,0.000241342,0.000038257,0.000022081
35620,10175,NEW YORK,NY,0.000000000,0.000255169,0.000009918,0.000021174
35620,11252,BROOKLYN,NY,0.000000000,0.000049023,0.000002834,0.000004134
35620,07207,ELIZABETH,NJ,0.000363684,0.000242599,0.000002834,0.000328293
35620,10116,NEW YORK,NY,0.000344198,0.000458802,0.000002834,0.000329100
35620,11359,BAYSIDE,NY,0.000000000,0.000181007,0.000007085,0.000015023
35620,07015,CLIFTON,NJ,0.000182733,0.000409779,0.000002834,0.000188143
35620,07509,PATERSON,NJ,0.000334694,0.000213689,0.000002834,0.000301372
35620,07970,MOUNT FREEDOM,NJ,0.000051089,0.000183521,0.000005668,0.000058480
35620,07822,AUGUSTA,NJ,0.000041228,0.000139526,0.000097767,0.000053136
35620,08525,HOPEWELL,NJ,0.000035168,0.000006285,0.000005668,0.000030752
35620,10108,NEW YORK,NY,0.000164317,0.000256426,0.000002834,0.000160214
35620,10199,NEW YORK,NY,0.000000000,0.000169694,0.000015586,0.000014721
35620,11202,BROOKLYN,NY,0.000536199,0.000409779,0.000002834,0.000488104
35620,11002,FLORAL PARK,NY,0.000080079,0.000198605,0.000002834,0.000084090
35620,11553,UNIONDALE,NY,0.000828952,0.000852241,0.000335809,0.000795728
35620,10548,MONTROSE,NY,0.000147327,0.000123185,0.000082181,0.000140755
35620,11713,BELLPORT,NY,0.000575644,0.000589529,0.000170030,0.000547895
35620,11701,AMITYVILLE,NY,0.001293031,0.001386462,0.001133531,0.001289176
35620,11741,HOLBROOK,NY,0.001278536,0.001665514,0.000512923,0.001255096
35620,11590,WESTBURY,NY,0.001904676,0.002658538,0.001456588,0.001933260
35620,11779,RONKONKOMA,NY,0.001810933,0.003172648,0.001595445,0.001904826
35620,11763,MEDFORD,NY,0.001250259,0.001484508,0.000349978,0.001204985
35620,11764,MILLER PLACE,NY,0.000727367,0.000722770,0.000102018,0.000682499
35620,11901,RIVERHEAD,NY,0.001663606,0.002677393,0.001363072,0.001723539
35620,11756,LEVITTOWN,NY,0.001695567,0.001111181,0.000327307,0.001551326
35620,11946,HAMPTON BAYS,NY,0.001029506,0.000893721,0.000321640,0.000968243
35620,11942,EAST QUOGUE,NY,0.000504357,0.000312991,0.000063761,0.000457654
35620,11980,YAPHANK,NY,0.000398496,0.000512853,0.000281966,0.000399376
35620,10509,BREWSTER,NY,0.001040199,0.001558670,0.000624859,0.001052232
