cbsa_cd,cbsa_name,state,n_agencies,total_revenue,revenue_1M_5M,revenue_5M_10M,revenue_10M_50M,revenue_50M_plus,pct_revenue_under_1M,pct_revenue_1m_5m,pct_revenue_5M_10M,pct_revenue_10M_20M,pct_revenue_20M_50M,pct_revenue_50M_plus,pct_revenue_top2,n_agencies_1m_to_5m,pct_agencies_ownership_change,pct_revenue_ownership_change
12620,"Bangor, ME",ME,4,34970014.0,12309715.0,0.0,22660299.0,0.0,0.0,0.3520077229594475,0.0,0.0,0.6479922770405525,0.0,0.7752843050048536,3,0.0,0.0
12700,"Barnstable Town, MA",MA,5,63705277.0,4924074.0,5282179.0,53499024.0,0.0,0.0,0.07729460151315251,0.0829158783816292,0.3884633293408331,0.4513261907643852,0.0,0.6620946487682645,1,0.0,0.0
12940,"Baton Rouge, LA",LA,19,55916672.0,32883446.0,20988401.0,0.0,0.0,0.0365691470336432,0.5880794550863113,0.3753513978800455,0.0,0.0,0.0,0.25394343926619956,12,0.0,0.0
12980,"Battle Creek, MI",MI,1,9976287.0,0.0,9976287.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
13020,"Bay City, MI",MI,3,112718139.0,3419896.0,0.0,0.0,108935287.0,0.003220031870824269,0.030340245415158958,0.0,0.0,0.0,0.9664397227140168,0.9967799681291757,1,0.0,0.0
13140,"Beaumont-Port Arthur, TX",TX,18,47985402.0,27936644.0,17741922.0,0.0,0.0,0.04807370374848584,0.5821904753449809,0.3697358209065332,0.0,0.0,0.0,0.25377159495298174,11,0.05555555555555555,0.09238320020742975
13220,"Beckley, WV",WV,3,18915370.0,1492122.0,5235544.0,12187704.0,0.0,0.0,0.07888410324513874,0.2767878185835117,0.6443280781713495,0.0,0.0,0.9211158967548613,1,0.0,0.0
13380,"Bellingham, WA",WA,3,20351410.0,8119500.0,0.0,12231910.0,0.0,0.0,0.39896498571843425,0.0,0.6010350142815657,0.0,0.0,0.8278668161075817,2,0.3333333333333333,0.22683180182601598
13460,"Bend, OR",OR,4,11897042.0,5063890.0,6443169.0,0.0,0.0,0.03277982880114234,0.42564277742316114,0.5415773937756965,0.0,0.0,0.0,0.8359088755003135,2,0.0,0.0
13740,"Billings, MT",MT,4,9278935.0,8882309.0,0.0,0.0,0.0,0.042744776205458926,0.9572552237945411,0.0,0.0,0.0,0.0,0.7454447089024764,3,0.0,0.0
13780,"Binghamton, NY",NY,1,8376578.0,0.0,8376578.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
13900,"Bismarck, ND",ND,1,4156559.0,4156559.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
