year,operator_id,HHA Name,rpt_rec_num,Provider CCN,Street Address,City,State Code,Zip Code,cbsa_cd,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,HHA-based Hospice Provider CCN,"Total, Medicare Title XVIII Visits","Total, Medicaid Title XIX Visits","Total, Other Visits","Total, Total Visits",Total Episodes-Total Visits,Total Episodes-Total Charges,Total Cost,Total HHA Medicare Program Visits,Total HHA Medicare Program Cost,Gross Patient Revenues Title XVIII Medicare,Gross Patient Revenues Title XIX Medicaid,Gross Patient Revenues Other,Gross Patient Revenues Total,Less: Allowances and discounts on patients' accounts Title XVIII Medicare,Less: Allowances and discounts on patients' accounts Title XIX Medicaid,Less: Allowances and discounts on patients' accounts Other,Less: Allowances and discounts on patients' accounts Total,Net Patient Revenues (line 1 minus line 2) XVIII Medicare,Net Patient Revenues (line 1 minus line 2) XIX Medicaid,Net Patient Revenues (line 1 minus line 2) Other,Net Patient Revenues (line 1 minus line 2) Total,Less Total Operating Expenses (sum of lines 4 through 16),Net Income from service to patients (line 3 minus line 17),Total Other Income (sum of lines 19 through 31),Net Income or Loss for the period (line 18 plus line 32),Total PPS Payment - full episodes/periods without outliers,Total PPS Payment - full episodes/periods with outliers,Total PPS Payment - LUPA episodes/periods,Total PPS Payment - PEP episodes/periods,Total PPS Outlier Payment - full episodes/periods with outliers,Total PPS Outlier Payment - PEP episodes/periods,Allowable Bad Debts,Adjusted Reimbursable Bad Debts,Total Current Assets,Total Fixed Assets,Total Assets,Total Current Liabilities,Total Long Term Liabilities,Total Liabilities,Fund Balance,Total Liabilities and Fund Balances,Total Hospice Days Title XVIII Medicare,Total Hospice Days Title XIX Medicaid,Total Hospice Days Title Other,Total Hospice Days Total,Total Hospice Expenses
2020,16,ULTIMATE NURSING SERVICES OF IOWA,500019,167325,518 8TH STREET,SIOUX CITY,IA,51101,43580,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,16,ULTIMATE NURSING SERVICES OF IOWA,500020,167328,6750 WESTOWN PARKWAY,WEST DES MOINES,IA,50266,19780,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,17,AMBERSTAR HOME HEALTH LLC,500022,368097,3433 AGLER RD,COLUMBUS,OH,43219-3396,18140,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,18,HOME HEALTH SPECIALIST  INC.,500023,397282,349 WEST STATE STREET,MEDIA,PA,19063,37980,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,19,CAMBRIA HOME HEALTH  INC.,500024,397458,1506 RAILROAD ST,SUMMERHILL,PA,15958,27780,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,20,HOME TO STAY  INC.,500025,398159,5775 ALLENTOWN BLVD,HARRISBURG,PA,17112,25420,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,21,A & E HOME CARE  LLC,500026,398169,740 WALLACE WAY,WEATHERLY,PA,18255,10900,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,22,FOREVER YOUNG HOME CARE AGENCY  INC.,500027,398224,66 BUCK ROAD,SOUTHAMPTON,PA,18966,37980,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,23,ULTIMATE HOME HEALTH CARE,500028,398227,111 BUCK ROAD,HUNTINGDON VALLEY,PA,19006,37980,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,24,365 HEALTH SERVICES LLC,500029,398306,301 E. CITY AVENUE,BALA CYNWYD,PA,19004,37980,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25,NIGHTINGALE HOME HEALTH LLC,500030,559200,9245 LAGUNA SPRINGS DR  STE 200,ELK GROVE,CA,95758-7991,40900,5,08/26/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,26,AADI HOME HEALTH,500032,679617,3546 S. ALAMEDA,CORPUS CHRISTI,TX,78411,18580,5,01/01/2020,12/31/2020,,29061,233,3211,32505,19621,2860900,3172288,19621,3077801,3239227,29039,1266523,4534789,,,,,3239227,29039,1266523,4534789,3386140,1148649,,1148649,3126713,155897,18718,24077,49713,,,,5199372,2,5199374,436172,2759858,3196030,2003344,5199374,,,,,
2020,27,HEAVENLY HOST INC,500034,679778,536 S BRYAN BELT LINE RD,MESQUITE,TX,75149,19100,5,01/01/2020,12/31/2020,,967,,91,1058,973,126843,114734,973,106668,227007,,1985121,2212128,,,,,227007,,1985121,2212128,1859935,352193,,352193,227033,2864,147,133,221,,,,192301,64173,1104154,,73007,73007,1031147,1104154,,,,,
2020,28,VIBRANT HOME HEALTH CARE INC,500035,743171,55 NOBLE COURT STE 110,ROCKWALL,TX,75032,19100,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,29,STEWARD HOME HEALTHCARE,500037,747587,1220 BROWN TRAIL  SUITE B,BEDFORD,TX,76021,19100,5,01/01/2020,12/31/2020,,1453,,,1453,1587,238050,185692,1587,198630,219018,,,219018,,,,,219018,,,219018,207661,11357,,11357,137932,47316,1008,1170,14674,1077,,,-4165,,-4165,7181,,7181,-11346,-4165,,,,,
2020,30,CLASSIC HEALTH SERVICES  INC,500039,147901,2200 S. MAIN STREET   STE #300,LOMBARD,IL,60148,16980,5,01/01/2020,12/31/2020,,3186,43,400,3629,2759,596480,768503,2759,583082,713882,18361,59977,792220,8236,,,8236,705646,18361,59977,783984,793174,-9190,37823,28633,732580,14915,1984,6281,2118,,,,179249,,179249,125262,118655,243917,-64668,179249,,,,,
2020,31,NEWSOME HOME HEALTH CARE,500041,148208,920 ESSINGTON ROAD,JOLIET,IL,60431,16980,5,01/01/2020,12/31/2020,,37248,,55537,92785,38224,8351920,11676931,38224,4892331,7885692,,6886013,14771705,,,,,7885692,,6886013,14771705,12051895,2719810,1330616,4050426,7104758,615593,66541,20716,114410,,,,3587554,,3587554,202973,,202973,3384581,3587554,,,,,
2020,32,BRIGHAM HOME CARE SVCS INC,500042,227605,1 KIDDIE DRIVE STE 225,AVON,MA,02322-1171,14460,6,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,33,HOME HEALTH CARE SOLUTIONS LTD,500043,368058,1112 S WASHINGTON STREET,VAN WERT,OH,45891-2409,46780,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,34,BEST CHOICE HOME HEALTHCARE LLC,500044,369013,5900 ROCHE DR,COLUMBUS,OH,43229-3279,18140,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,35,CUIDADO CASERO HOME HEALTH CENTRAL,500046,458129,1110 N. CARROLL AVE,SOUTHLAKE,TX,76092,19100,5,01/01/2020,12/31/2020,,5002,,,5002,5310,964930,636700,5310,677365,3118115,,,3118115,,,,,3118115,,,3118115,2768837,349278,26,349304,1275087,4808,8220,5624,,,,,1841815,4043,1850690,1773469,,1773469,77221,1850690,,,,,
2020,36,CUIDADO CASERO HOME HEALTH OF EL PAS,500048,459419,1110 N CARROLL AVE,SOUTHLAKE,TX,76092,19100,5,01/01/2020,12/31/2020,,6064,,,6064,2928,487160,540799,2928,96313,6516956,,,6516956,,,,,6516956,,,6516956,6025277,491679,,491679,500485,12673,5626,1770,,,,,3822848,5380,3828228,601955,,601955,3226273,3828228,,,,,
2020,37,CRITRION HEALTH CARE INC,500049,679179,1202 E ARAPAHO RD,RICHARDSON,TX,75081-2477,19100,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,38,AMERIPRO HEALTHCARE GROUP LLC,500051,747014,929A GRAHAM DR,TOMBALL,TX,77375,26420,4,01/01/2020,12/31/2020,,5058,151,7,5216,4276,797310,803395,4276,669712,696373,,36487,732860,,,,,696373,,36487,732860,1150415,-417555,324783,-92772,733919,15269,2664,1548,6269,,,,208581,511,284816,46421,490725,537146,-252330,284816,,,,,
2020,39,ALERT HOME HEALTH CARE  INC.,500053,147844,8118 N. MILWAUKEE AVENUE  SUITE 109,NILE,IL,60714,16980,5,01/01/2020,12/31/2020,,6062,,,6062,5874,734250,1503065,5874,1226574,1823413,,,1823413,,,,,1823413,,,1823413,1610251,213162,,213162,1948857,4996,14565,773,189,,,,855089,14827,869916,6705,497811,504516,365400,869916,,,,,
2020,40,FRANKUR HOMECARE SERVICES,500054,227716,201 WASHINGTON STREET SUITE 209,SALEM,MA,01970-3617,14460,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,41,TRUEVINE HEALTH CARE  LLC,500056,377776,2424 SPINGER DR.  STE 300,NORMAN,OK,73069,36420,5,01/01/2020,12/31/2020,,4133,94,1726,5953,4133,579638,910024,4133,672215,616533,6537,245798,868868,,,,,616533,6537,245798,868868,971964,-103096,56075,-47021,579936,52730,3847,2506,14135,,,,18081,447,23236,55075,,55075,-31839,23236,,,,,
2020,42,COMPASSIONATE HOME HEALTH OF OKC,500058,377790,500 N. MERIDIAN AVENUE  SUITE 305,OKLAHOMA CITY,OK,73107,36420,5,01/01/2020,12/31/2020,,1736,69,223,2028,1793,247353,285479,1793,277066,282397,87192,28855,398444,,,,,282397,87192,28855,398444,323017,75427,,75427,359417,3499,823,3181,313,,,,46107,23720,69827,57616,,57616,12211,69827,,,,,
2020,43,ALTOMAR HOME HEALTH CARE  INC.,500060,459478,3214 E YADELL,EL PASO,TX,79903,21340,5,01/01/2020,12/31/2020,,3951,75,30251,34277,3133,562191,3158972,3133,262524,551652,14439,9377374,9943465,21083,12930,4475106,4509119,530569,1509,4902268,5434346,5355497,78849,804686,883535,339233,52916,11290,2027,29105,403,,,982017,95683,1077700,232401,342868,575269,502431,1077700,,,,,
2020,44,GLORY ABLE HOME HEALTHCARE INC,500061,677852,210 S MAIN ST,DUNCANVILLE,TX,75116-4702,19100,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,45,FIRST CARE HOME SVCS INC.,500063,109140,2040 NE 163 ST #303,NORTH MIAMI BEACH,FL,33162-4941,33100,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,DEPENDABLE NIGHTINGALES AGENCY,500064,109735,499 STATE ROAD 434 NORTH,ALTAMONTE SPRINGS,FL,32714-2170,36740,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,COMMUNTIY HOME CARE SERVICES,500065,157078,1909A S HEATON ST.,KNOX,IN,46534-2325,99999,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,48,NM CUIDADO CASERO HOME HEALTH SERVIC,500068,327195,820 ANTHONY DR  SUITE A,ANTHONY,NM,88021,29740,5,01/01/2020,12/31/2020,,3733,,3845,7578,3743,631320,709225,3743,359929,4543322,,,4543322,,,,,4543322,,,4543322,4028215,515107,23788,538895,664051,17826,1353,,,,,,2445770,,2449655,419930,,419930,2029725,2449655,,,,,
2020,49,ULTIMATE HOME HEALTHCARE SERVICES,500069,368120,7656 SLATE RIDGE BLVD,REYNOLDSBURG,OH,43068-8158,18140,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
